title,creator,type,institution,country,year,rights,link
Map of the region,Albrecht Dürer,TEXT,Deutsches Historisches Museum,Germany,1943,CC BY 4.0,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=246316
View of the city harbour,Max Liebermann,SOUND,Deutsches Historisches Museum,Germany,1764,CC0 Public Domain,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=198246
Town plan,Max Liebermann,TEXT,Deutsches Historisches Museum,Germany,1828,,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=835392
Etching of the cathedral,Max Liebermann,TEXT,Bildarchiv Foto Marburg,Germany,1944,CC0 Public Domain,https://www.bildindex.de/document/obj895667
Still life with flowers,Hans Holbein,TEXT,Bildarchiv Foto Marburg,Germany,1711,CC BY 4.0,https://www.bildindex.de/document/obj900581
Diary entry,Albrecht Dürer,VIDEO,Bildarchiv Foto Marburg,Germany,1705,CC BY-SA 4.0,https://www.bildindex.de/document/obj733052
Census record,Max Liebermann,IMAGE,Bildarchiv Foto Marburg,Germany,1880,In Copyright,https://www.bildindex.de/document/obj182627
Town plan,Max Liebermann,TEXT,Staatliche Museen zu Berlin,Germany,1949,CC0 Public Domain,https://id.smb.museum/object/148050
Diary entry,Albrecht Dürer,TEXT,Staatliche Museen zu Berlin,Germany,1781,CC0 Public Domain,https://id.smb.museum/object/498591
Legal document,Caspar David Friedrich,VIDEO,Staatliche Museen zu Berlin,Germany,1787,CC BY 4.0,https://id.smb.museum/object/802729
Folk song recording,Max Liebermann,IMAGE,Deutsches Historisches Museum,Germany,1748,,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=356702
Coat of arms,Käthe Kollwitz,TEXT,Staatliche Museen zu Berlin,Germany,1903,CC BY-SA 4.0,https://id.smb.museum/object/983794
Parish register entry,Albrecht Dürer,VIDEO,Bayerische Staatsbibliothek,Germany,1772,CC BY-SA 4.0,https://opacplus.bsb-muenchen.de/search?id=169403
Parish register entry,Caspar David Friedrich,3D,Staatliche Museen zu Berlin,Germany,1535,,https://id.smb.museum/object/581141
Illuminated miniature,Käthe Kollwitz,TEXT,Bayerische Staatsbibliothek,Germany,1976,No Copyright Non-Commercial,https://opacplus.bsb-muenchen.de/search?id=549245
Documentary footage,Caspar David Friedrich,IMAGE,Staatliche Museen zu Berlin,Germany,1907,In Copyright,https://id.smb.museum/object/195325
Etching of the cathedral,Käthe Kollwitz,IMAGE,Bayerische Staatsbibliothek,Germany,1849,,https://opacplus.bsb-muenchen.de/search?id=542666
Documentary footage,Max Liebermann,3D,Bildarchiv Foto Marburg,Germany,1900,CC BY-SA 4.0,https://www.bildindex.de/document/obj680099
Woodcut illustration,Käthe Kollwitz,TEXT,Deutsches Historisches Museum,Germany,1611,,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=456699
Illuminated miniature,Lucas Cranach,IMAGE,Bayerische Staatsbibliothek,Germany,,,https://opacplus.bsb-muenchen.de/search?id=376183
Diary entry,Max Liebermann,IMAGE,Bayerische Staatsbibliothek,Germany,1932,,https://opacplus.bsb-muenchen.de/search?id=412942
Woodcut illustration,Caspar David Friedrich,VIDEO,Bayerische Staatsbibliothek,Germany,,CC BY 4.0,https://opacplus.bsb-muenchen.de/search?id=665579
Official decree,Max Liebermann,VIDEO,Deutsches Historisches Museum,Germany,1970,CC0 Public Domain,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=217301
Trade contract,Albrecht Dürer,TEXT,Bayerische Staatsbibliothek,Germany,1624,No Copyright Non-Commercial,https://opacplus.bsb-muenchen.de/search?id=182582
Still life with flowers,Max Liebermann,IMAGE,Deutsches Historisches Museum,Germany,1961,,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=598369
Genre scene,Max Liebermann,SOUND,Staatliche Museen zu Berlin,Germany,1912,No Copyright Non-Commercial,https://id.smb.museum/object/891952
Printed book page,Lucas Cranach,VIDEO,Staatliche Museen zu Berlin,Germany,1557,No Copyright Non-Commercial,https://id.smb.museum/object/573417
3D scan of sculpture,Hans Holbein,IMAGE,Deutsches Historisches Museum,Germany,1800,No Copyright Non-Commercial,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=341292
Map of the region,Käthe Kollwitz,IMAGE,Deutsches Historisches Museum,Germany,1904,CC0 Public Domain,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=132938
Genre scene,Hans Holbein,3D,Bayerische Staatsbibliothek,Germany,1936,No Copyright Non-Commercial,https://opacplus.bsb-muenchen.de/search?id=238739
Etching of the cathedral,Caspar David Friedrich,3D,Bildarchiv Foto Marburg,Germany,1668,In Copyright,https://www.bildindex.de/document/obj299659
Manuscript fragment,Hans Holbein,SOUND,Bildarchiv Foto Marburg,Germany,1667,In Copyright,https://www.bildindex.de/document/obj864491
Illuminated miniature,Albrecht Dürer,SOUND,Deutsches Historisches Museum,Germany,1915,CC BY-SA 4.0,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=939482
Still life with flowers,Caspar David Friedrich,3D,Bayerische Staatsbibliothek,Germany,1731,In Copyright,https://opacplus.bsb-muenchen.de/search?id=292401
View of the city harbour,Lucas Cranach,IMAGE,Deutsches Historisches Museum,Germany,1905,,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=666847
Official decree,Caspar David Friedrich,SOUND,Bayerische Staatsbibliothek,Germany,1903,In Copyright,https://opacplus.bsb-muenchen.de/search?id=324130
Parish register entry,Lucas Cranach,IMAGE,Bayerische Staatsbibliothek,Germany,1918,CC BY-SA 4.0,https://opacplus.bsb-muenchen.de/search?id=922157
Still life with flowers,Käthe Kollwitz,3D,Bildarchiv Foto Marburg,Germany,1707,CC BY 4.0,https://www.bildindex.de/document/obj411120
View of the city harbour,Käthe Kollwitz,VIDEO,Deutsches Historisches Museum,Germany,1867,CC0 Public Domain,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=712554
Diary entry,Albrecht Dürer,IMAGE,Bayerische Staatsbibliothek,Germany,1886,CC BY 4.0,https://opacplus.bsb-muenchen.de/search?id=171849
Trade contract,Lucas Cranach,IMAGE,Bayerische Staatsbibliothek,Germany,1805,No Copyright Non-Commercial,https://opacplus.bsb-muenchen.de/search?id=358175
Census record,Lucas Cranach,VIDEO,Deutsches Historisches Museum,Germany,1920,CC BY-SA 4.0,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=314181
Still life with flowers,Hans Holbein,SOUND,Bayerische Staatsbibliothek,Germany,1740,,https://opacplus.bsb-muenchen.de/search?id=776856
Digital reconstruction of building,Albrecht Dürer,3D,Deutsches Historisches Museum,Germany,1554,No Copyright Non-Commercial,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=204837
Trade contract,Caspar David Friedrich,VIDEO,Staatliche Museen zu Berlin,Germany,1820,CC0 Public Domain,https://id.smb.museum/object/356150
Digital reconstruction of building,Max Liebermann,TEXT,Bildarchiv Foto Marburg,Germany,1483,,https://www.bildindex.de/document/obj654634
Trade contract,Käthe Kollwitz,IMAGE,Staatliche Museen zu Berlin,Germany,1527,CC BY 4.0,https://id.smb.museum/object/377312
Digital reconstruction of building,Hans Holbein,TEXT,Bayerische Staatsbibliothek,Germany,1787,CC BY 4.0,https://opacplus.bsb-muenchen.de/search?id=852470
Architectural drawing,Max Liebermann,3D,Staatliche Museen zu Berlin,Germany,1835,CC0 Public Domain,https://id.smb.museum/object/196781
Woodcut illustration,Albrecht Dürer,VIDEO,Deutsches Historisches Museum,Germany,,CC BY 4.0,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=768061
Folk song recording,Käthe Kollwitz,3D,Bayerische Staatsbibliothek,Germany,1814,,https://opacplus.bsb-muenchen.de/search?id=548462
Folk song recording,Käthe Kollwitz,IMAGE,Deutsches Historisches Museum,Germany,1870,CC0 Public Domain,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=975136
